panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
2,11:33:43,24/09/24,16972,340,5770,-30.00,0.00
3,11:33:43,24/09/24,17688,371,6566,,
1,11:43:43,24/09/24,12964,267,3460,,
2,11:43:43,24/09/24,13364,268,3512,-30.00,0.00
3,11:43:43,24/09/24,13860,290,4030,,
1,11:53:43,24/09/24,15060,310,4670,,
2,11:53:43,24/09/24,15072,302,4408,-30.00,0.00
3,11:53:43,24/09/24,16472,345,5692,,
1,12:03:44,24/09/24,16012,329,5280,,
2,12:03:44,24/09/24,16008,321,5144,-32.17,4.22
3,12:03:44,24/09/24,17188,360,6200,,
1,12:13:43,24/09/24,15980,328,5256,,
2,12:13:43,24/09/24,15748,318,5014,-30.00,0.00
3,12:13:43,24/09/24,17108,359,6144,,
1,12:23:44,24/09/24,12556,258,3248,,
2,12:23:44,24/09/24,12640,253,3204,-32.15,9.19
3,12:23:44,24/09/24,12744,267,3408,,
1,12:33:43,24/09/24,17996,370,6666,,
2,12:33:43,24/09/24,17700,355,6294,-30.00,30.00
3,12:33:43,24/09/24,18244,382,6982,,
1,12:43:43,24/09/24,13120,270,3548,,
2,12:43:43,24/09/24,13140,264,3470,-30.00,30.00
3,12:43:43,24/09/24,13068,274,3588,,
1,12:53:43,24/09/24,17300,356,6160,,
2,12:53:43,24/09/24,17048,342,5832,-30.00,30.00
3,12:53:43,24/09/24,17512,367,6436,,
1,13:03:44,24/09/24,17116,352,6036,,
2,13:03:44,24/09/24,16892,339,5742,-32.07,18.86
3,13:03:44,24/09/24,17392,364,6344,,
1,13:13:43,24/09/24,14764,304,4490,,
2,13:13:43,24/09/24,14764,296,4378,-30.00,30.00
3,13:13:43,24/09/24,14476,303,4394,,
1,13:23:43,24/09/24,14728,303,4466,,
2,13:23:43,24/09/24,14624,293,4296,-30.00,30.00
3,13:23:43,24/09/24,14300,300,4290,,
1,13:33:43,24/09/24,16948,349,5918,,
2,13:33:43,24/09/24,16644,334,5564,-31.97,25.76
3,13:33:43,24/09/24,16816,352,5928,,
1,13:43:43,24/09/24,13984,287,4028,,
2,13:43:43,24/09/24,13748,276,3798,-31.92,27.97
3,13:43:43,24/09/24,12356,259,3202,,
1,13:53:43,24/09/24,15924,327,5216,,
2,13:53:43,24/09/24,15280,306,4686,-30.00,30.00
3,13:53:43,24/09/24,14360,301,4322,,
1,14:03:43,24/09/24,9000,185,1668,,
