panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
3,11:43:43,01/10/24,18772,393,7396,,
1,11:53:44,01/10/24,18212,373,6800,,
2,11:53:44,01/10/24,18104,362,6560,-30.00,0.00
3,11:53:44,01/10/24,18520,388,7196,,
1,12:03:44,01/10/24,17904,367,6574,,
2,12:03:44,01/10/24,17860,358,6396,-30.00,0.00
3,12:03:44,01/10/24,18204,382,6956,,
1,12:13:44,01/10/24,18148,372,6756,,
2,12:13:44,01/10/24,17972,361,6498,-30.00,0.00
3,12:13:44,01/10/24,18408,386,7114,,
1,12:23:44,01/10/24,18136,372,6754,,
2,12:23:44,01/10/24,18036,357,6482,-30.00,0.00
3,12:23:44,01/10/24,18352,385,7068,,
1,12:33:44,01/10/24,18104,371,6728,,
2,12:33:44,01/10/24,17800,356,6344,-30.00,30.00
3,12:33:44,01/10/24,18276,383,7010,,
1,12:43:44,01/10/24,18068,370,6702,,
2,12:43:44,01/10/24,17920,359,6432,-30.00,30.00
3,12:43:44,01/10/24,18224,382,6970,,
1,12:53:44,01/10/24,18192,373,6792,,
2,12:53:44,01/10/24,17952,359,6456,-30.00,30.00
3,12:53:44,01/10/24,18256,383,6992,,
1,13:03:44,01/10/24,18192,373,6792,,
2,13:03:44,01/10/24,18016,360,6498,-30.00,30.00
3,13:03:44,01/10/24,18180,381,6938,,
1,13:13:44,01/10/24,18020,370,6668,,
2,13:13:44,01/10/24,17952,359,6458,-30.00,30.00
3,13:13:44,01/10/24,17988,377,6792,,
1,13:23:44,01/10/24,17996,369,6648,,
2,13:23:44,01/10/24,17956,359,6462,-30.00,30.00
3,13:23:44,01/10/24,17896,375,6720,,
1,13:33:44,01/10/24,18020,370,6672,,
2,13:33:44,01/10/24,17940,359,6456,-30.00,30.00
3,13:33:44,01/10/24,17740,372,6606,,
1,13:43:44,01/10/24,18044,371,6694,,
2,13:43:44,01/10/24,17908,359,6436,-30.00,30.00
3,13:43:44,01/10/24,17544,368,6458,,
1,13:53:44,01/10/24,18108,372,6740,,
2,13:53:44,01/10/24,17876,358,6410,-30.00,30.00
3,13:53:44,01/10/24,17276,362,6268,,
1,14:03:44,01/10/24,17984,369,6646,,
2,14:03:44,01/10/24,17724,355,6298,-30.00,30.00
3,14:03:44,01/10/24,16848,353,5960,,
